,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
88,88,2013-01-21,Joe Rogan Experience #115 - Maz Jobrani,2,11106,16,158,7,22.57142857142857,0.3175,36.32625
89,89,2013-01-22,Joe Rogan Experience #116 - Russell Peters & Junior Simpson,2,14444,21,158,5,31.6,0.17666666666666667,35.98428571428572
90,90,2013-01-22,Joe Rogan Experience #117 - Eddie Bravo,1,22343,45,267,9,29.66666666666667,0.11288888888888887,44.367777777777775
91,91,2013-01-22,Joe Rogan Experience #118 - Ari Shaffir,2,25938,35,245,8,30.625,0.09176470588235294,31.880588235294123
92,92,2013-01-22,Joe Rogan Experience #119 - Jan Irvin,0,16879,128,141,58,2.431034482758621,0.056747967479674775,47.3507317073171
93,93,2013-01-22,Joe Rogan Experience #121 - Bryan Callen,2,31390,49,335,13,25.76923076923077,0.2420408163265306,35.33551020408164
94,94,2013-01-22,Joe Rogan Experience #122 - Jamie Kilstein,2,11254,43,97,7,13.857142857142858,0.1632558139534884,46.48813953488373
95,95,2013-01-22,Joe Rogan Experience #123 - Tom Segura,2,40946,57,344,26,13.230769230769232,0.1267924528301887,31.549056603773586
96,96,2013-01-22,Joe Rogan Experience #124 - Michael Schiavello (Part 1),1,13030,18,123,4,30.75,0.18500000000000005,56.90222222222224
97,97,2013-01-22,Joe Rogan Experience #124 - Michael Schiavello (Part 2),1,3399,7,41,1,41.0,0.1285714285714286,47.744285714285716
98,98,2013-01-23,"Joe Rogan Experience #125 - Giorgio A. Tsoukalos, Eddie Bravo",0,66476,248,507,44,11.522727272727273,0.1884931506849315,48.60374429223745
99,99,2013-01-23,Joe Rogan Experience #126 - Freddy Lockhart (Part 1),2,5390,15,47,3,15.666666666666664,0.07933333333333333,24.96933333333333
100,100,2013-01-23,Joe Rogan Experience #126 - Freddy Lockhart (Part 2),2,5763,16,65,2,32.5,0.10384615384615384,50.75923076923078
101,101,2013-01-23,Joe Rogan Experience #127 - Aubrey Marcus (Part 1),2,23681,40,274,8,34.25,0.2252777777777778,42.78527777777778
102,102,2013-01-23,Joe Rogan Experience #127 - Aubrey Marcus (Part 2),0,13726,28,178,9,19.777777777777786,0.2382142857142857,50.574285714285715
103,103,2013-01-23,Joe Rogan Experience #128 - Joey Diaz,2,163419,685,1612,87,18.528735632183906,0.11341625207296853,43.08625207296849
104,104,2013-01-23,Joe Rogan Experience #129 - Ari Shaffir,2,21246,30,208,12,17.333333333333332,0.18933333333333333,36.16966666666666
105,105,2013-01-23,Joe Rogan Experience #130 - Duncan Trussell,2,57346,125,583,18,32.388888888888886,0.18677966101694915,46.06593220338984
106,106,2013-01-23,Joe Rogan Experience #131 - Neal Brennan,2,15634,32,128,11,11.636363636363635,0.16125,46.9809375
107,107,2013-01-23,Joe Rogan Experience #132 - Bert Kreischer,2,64894,120,666,23,28.956521739130434,0.1885087719298245,38.89719298245614
108,108,2013-01-23,Joe Rogan Experience #133 - Charlie Murphy & Freeze Love,2,371357,773,3327,151,22.03311258278145,0.12634423897581798,35.47055476529161
109,109,2013-01-23,Joe Rogan Experience #134 - Kevin Smith (Part 1),2,28802,14,181,3,60.33333333333334,0.08357142857142859,41.02142857142858
110,110,2013-01-23,Joe Rogan Experience #134 - Kevin Smith (Part 2),2,55930,62,426,9,47.33333333333334,0.1648387096774194,32.314677419354844
111,111,2013-01-23,Joe Rogan Experience #134 - Kevin Smith (Part 3),2,38919,62,379,10,37.9,0.14419354838709678,49.04161290322581
112,112,2013-01-23,Joe Rogan Experience #135 - Joey Diaz & John Heffron,2,47487,80,383,23,16.652173913043477,0.0959493670886076,47.69810126582279
113,113,2013-01-23,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 1),0,17280,23,131,3,43.66666666666666,0.19869565217391305,66.12608695652175
114,114,2013-01-23,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 2),0,6433,4,43,2,21.5,0.185,22.75500000000001
115,115,2013-01-23,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 3),0,9569,32,105,5,21.0,0.1790625,44.086875000000006
116,116,2013-01-23,Joe Rogan Experience #137 - Tim Ferriss,0,36572,47,375,16,23.4375,0.12702127659574464,39.81914893617022
117,117,2013-01-23,Joe Rogan Experience #138 - Anthony Bourdain,0,501671,1382,5051,252,20.0436507936508,0.11985726280436612,38.948446683459245
118,118,2013-01-23,Joe Rogan Experience #139 - Duncan Trussell,2,67627,194,673,34,19.794117647058822,0.13094972067039096,44.639776536312844
119,119,2013-01-23,Joe Rogan Experience #140 - Brendon Walsh (Part 1),2,5667,4,62,0,inf,0.16000000000000006,14.14
120,120,2013-01-23,Joe Rogan Experience #140 - Brendon Walsh (Part 2),2,8211,14,71,2,35.5,0.16428571428571428,37.75785714285714
121,121,2013-01-23,Joe Rogan Experience #140 - Brendon Walsh (Part 3),2,7379,9,70,4,17.5,-0.06333333333333332,33.052222222222234
