date,Unnamed: 0,commentCount,date,dislikeCount,likeCount,title,viewCount,ratio,class,sentiment,magnitude
2013-01-22,89,21,2013-01-22,5,158,Joe Rogan Experience #116 - Russell Peters & Junior Simpson,14444,31.6,2,0.17666666666666667,35.98428571428572
2013-01-22,90,45,2013-01-22,9,267,Joe Rogan Experience #117 - Eddie Bravo,22343,29.666666666666668,2,0.11288888888888889,44.367777777777775
2013-01-22,91,35,2013-01-22,8,245,Joe Rogan Experience #118 - Ari Shaffir,25938,30.625,2,0.09176470588235294,31.88058823529412
2013-01-22,92,128,2013-01-22,58,141,Joe Rogan Experience #119 - Jan Irvin,16879,2.4310344827586206,0,0.05674796747967478,47.35073170731709
2013-01-22,93,49,2013-01-22,13,335,Joe Rogan Experience #121 - Bryan Callen,31390,25.76923076923077,2,0.2420408163265306,35.335510204081636
2013-01-22,94,43,2013-01-22,7,97,Joe Rogan Experience #122 - Jamie Kilstein,11254,13.857142857142858,2,0.1632558139534884,46.48813953488373
2013-01-22,95,57,2013-01-22,26,344,Joe Rogan Experience #123 - Tom Segura,40946,13.23076923076923,2,0.1267924528301887,31.549056603773586
2013-01-22,96,18,2013-01-22,4,123,Joe Rogan Experience #124 - Michael Schiavello (Part 1),13030,30.75,1,0.18500000000000003,56.902222222222235
2013-01-22,97,7,2013-01-22,1,41,Joe Rogan Experience #124 - Michael Schiavello (Part 2),3399,41.0,1,0.1285714285714286,47.744285714285716
2013-01-23,98,248,2013-01-23,44,507,"Joe Rogan Experience #125 - Giorgio A. Tsoukalos, Eddie Bravo",66476,11.522727272727273,0,0.1884931506849315,48.60374429223745
2013-01-23,99,15,2013-01-23,3,47,Joe Rogan Experience #126 - Freddy Lockhart (Part 1),5390,15.666666666666666,2,0.07933333333333333,24.96933333333333
2013-01-23,100,16,2013-01-23,2,65,Joe Rogan Experience #126 - Freddy Lockhart (Part 2),5763,32.5,2,0.10384615384615385,50.75923076923077
2013-01-23,101,40,2013-01-23,8,274,Joe Rogan Experience #127 - Aubrey Marcus (Part 1),23681,34.25,2,0.2252777777777778,42.78527777777778
2013-01-23,102,28,2013-01-23,9,178,Joe Rogan Experience #127 - Aubrey Marcus (Part 2),13726,19.77777777777778,0,0.2382142857142857,50.574285714285715
2013-01-23,103,685,2013-01-23,87,1612,Joe Rogan Experience #128 - Joey Diaz,163419,18.528735632183906,2,0.11341625207296852,43.086252072968485
2013-01-23,104,30,2013-01-23,12,208,Joe Rogan Experience #129 - Ari Shaffir,21246,17.333333333333332,2,0.18933333333333335,36.169666666666664
2013-01-23,105,125,2013-01-23,18,583,Joe Rogan Experience #130 - Duncan Trussell,57346,32.388888888888886,2,0.18677966101694915,46.065932203389835
2013-01-23,106,32,2013-01-23,11,128,Joe Rogan Experience #131 - Neal Brennan,15634,11.636363636363637,2,0.16125,46.980937499999996
2013-01-23,107,120,2013-01-23,23,666,Joe Rogan Experience #132 - Bert Kreischer,64894,28.956521739130434,2,0.18850877192982451,38.89719298245614
2013-01-23,108,773,2013-01-23,151,3327,Joe Rogan Experience #133 - Charlie Murphy & Freeze Love,371357,22.033112582781456,2,0.12634423897581798,35.47055476529161
2013-01-23,109,14,2013-01-23,3,181,Joe Rogan Experience #134 - Kevin Smith (Part 1),28802,60.333333333333336,2,0.08357142857142859,41.02142857142858
2013-01-23,110,62,2013-01-23,9,426,Joe Rogan Experience #134 - Kevin Smith (Part 2),55930,47.333333333333336,2,0.1648387096774194,32.314677419354844
2013-01-23,111,62,2013-01-23,10,379,Joe Rogan Experience #134 - Kevin Smith (Part 3),38919,37.9,2,0.14419354838709678,49.041612903225804
2013-01-23,112,80,2013-01-23,23,383,Joe Rogan Experience #135 - Joey Diaz & John Heffron,47487,16.652173913043477,2,0.09594936708860761,47.69810126582278
2013-01-23,113,23,2013-01-23,3,131,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 1),17280,43.666666666666664,0,0.19869565217391305,66.12608695652175
